Joke,Subject,Cringe Level
Why did the golfer bring two pairs of pants? In case he got a hole in one.,Misc,1
How do you stop a bull from charging? Cancel its credit card.,Misc,2
How do you follow Will Smith in the Mud? Follow the fresh prints.,Misc,3
Why do seagulls fly over the sea? If they flew over the bay they would be bagels.,Misc,4
I'm thinking I should do lunges to stay in shape. That would be a big step forward.,Misc,5
What vegetable is cool but not that cool? Radish.,Misc,1
Two sheep walk into a-baaaa.,Misc,2
What do you call a beehive without an exit? Un-bee-lievable.,Misc,3
What did the seal with one fin say to the shark? If seal is broken do not consume.,Misc,4
Why can't a leopard hide? He's always spotted.,Misc,5
Can February March? No but April May!,Misc,1
Why was 6 afraid of 7? Because 7 ate nine!,Misc,2
I'm so good at sleeping that I do it with my eyes closed.,Misc,3
What's brown and sticky? A stick.,Misc,5
I'm reading an anti-gravity book. I can't put it down!,Misc,1
What's Forrest Gump's password? 1forrest1,Misc,2
What did the two pieces of bread say on their wedding day? It was loaf at first sight.,Misc,3
What kind of shoes does a lazy person wear? Loafers.,Misc,4
What did the ocean say to the beach? Nothing. It just waved.,Misc,5
Why are chemists so good at solving problems? They're always working with solutions.,Science,1
What did one tectonic plate say when he bumped into another? Sorry! My Fault.,Science,2
What did the infectious disease say when the bartender refused him service? Well you're not a very good host.,Science,3
What will never go viral no matter how popular they get? Antibiotics.,Science,5
Why is so hard to wake up in the morning? Newton's First Law: A body at rest wants to stay at rest.,Science,1
What did the science book say to the math book? You've got problems.,Science,3
What do protons and life coaches have in common? They know how to stay positive,Science,5
Why did the chemist hang up periodic table posters everywhere? It made him feel like he was in his element.,Science,1
What did the helpless T cell say when facing the infection? Is there antibody out there?,Science,2
Why is combining a proton and an electron to make a neutron so popular? It's free of charge.,Science,3
What sound does a sub-atomic duck make? Quark.,Science,4
Where does criminal light end up? In prism.,Science,5
Where did the chemist have his lunch? On a periodic table.,Science,1
What do you call a bunch of iron atoms at a carnival? A ferrous wheel.,Science,2
Why did the chemist read the book on helium so fast? He couldn't put it down.,Science,3
Why is YouTube stable? It constantly buffers.,Science,4
What did the chemist say when he heard oxygen and magnesium were dating? OMg,Science,5
Why do pandas like old movies? Because they play in black-and-white.,Animals,1
Where do mice park their boats? At the hickory dickory dock.,Animals,2
What do you call an alligator with a spyglass? An investigator.,Animals,3
Where did the sheep go on vacation? The Baaaahamas.,Animals,4
What's black and white and blue? A depressed zebra.,Animals,5
What day do chickens fear the most? Fry-days.,Animals,2
How do you stop an elephant from charging? Take away their credit cards.,Animals,3
Who stole the soap out of the bathtub? The robber ducky.,Animals,4
What do you get if you cross fireworks with a duck? Firequackers!,Animals,5
What has fangs and webbed feet? Count Duckula.,Animals,1
What was the goal of the detective duck? To quack the case of course.,Animals,2
What happens when a frog's car breaks down? It gets toad.,Animals,3
Why did the elephant stay in the airport? They were waiting for their trunk.,Animals,4
What time does a duck wake up? At the quack of dawn!,Animals,5
Can a kangaroo jump higher than the Empire State Building? Of course. Buildings can't jump.,Animals,2
Did you hear about the racing snail who got rid of his shell? He thought it would make him faster but it just made him sluggish.,Animals,3
Why was the math book sad? It had a lot of problems.,Math,1
Why did the two fours skip lunch? They already eight!,Math,3
Are monsters good at math? Not unless you Count Dracula.,Math,4
What is the butterfly's favorite subject in school? Mothematics.,Math,5
How do you make time fly? Throw a clock out the window!,Math,1
Why is six afraid of seven? Because seven eight nine!,Math,2
Why did seven eat nine? Because you're supposed to eat three squared meals a day!,Math,4
What do you get when you multiply a New York City landmark by itself? Times Square.,Math,5
What do you call an adventurous number? A roamin' numeral.,Math,1
How are a dollar and the moon similar? They both have four quarters!,Math,2
Did you hear the one about the statistician? Probably.,Math,3
Why was the student upset when his teacher called him average? It was a mean thing to say!,Math,4
Why was the fraction worried about marrying the decimal? Because she would have to convert.,Math,5
Why is the obtuse triangle always so frustrated? Because it's never right.,Math,1
Why was the equal sign so humble? Because she knew she wasn't greater than or less than anyone else.,Math,2
What do you call a number that can't stay in one place? A roamin' numeral.,Math,3
What is a math teacher's favorite snake? A pi-thon.,Math,5
If you're a good geography teacher you can't ever tell a student to get lost.,Geography,1
I walked past my friend Sam on his boat scribbling on a map. I'm certain he's plotting something.,Geography,2
The grumpy cartographer got kicked out of map-making club. They don't let anyone in who has a bad latitude.,Geography,3
A bully beat me up with a map of Belgium. I'm completely covered in Bruges.,Geography,5
I adore my map. I'd be absolutely lost without it.,Geography,1
I finally found my book of maps. Atlast.,Geography,2